cik,sic,sic1,sic2,sic3
23217,2000,2,20,200
23249,2250,2,22,225
23259,4813,4,48,481
23304,2211,2,22,221
23314,3444,3,34,344
23341,3089,3,30,308
23413,6020,6,60,602
23503,3679,3,36,367
23533,1400,1,14,140
23657,2670,2,26,267
23666,2013,2,20,201
23675,4210,4,42,421
23738,4923,4,49,492
23752,2621,2,26,262
23795,6510,6,65,651
23910,4941,4,49,494
24009,3357,3,33,335
24011,6331,6,63,633
24058,6020,6,60,602
24071,7377,7,73,737
24090,6311,6,63,631
24104,3585,3,35,358
24491,3011,3,30,301
24545,2082,2,20,208
24654,3841,3,38,384
24741,3679,3,36,367
25118,6311,6,63,631
25191,6162,6,61,616
25212,2732,2,27,273
25232,6798,6,67,679
25305,4841,4,48,484
25354,7200,7,72,720
25360,3440,3,34,344
25445,3490,3,34,349
25475,6411,6,64,641
25506,3571,3,35,357
25652,3690,3,36,369
25657,1381,1,13,138
25743,2834,2,28,283
25793,3950,3,39,395
25871,5311,5,53,531
25885,2911,2,29,291
25895,2211,2,22,221
25933,2200,2,22,220
25941,4991,4,49,499
26058,3670,3,36,367
26076,3578,3,35,357
26093,2100,2,21,210
26172,3510,3,35,351
26261,6726,6,67,672
26324,3728,3,37,372
26361,3843,3,38,384
26379,9995,9,99,999
26537,3812,3,38,381
26757,8071,8,80,807
26780,3714,3,37,371
26782,3825,3,38,382
26820,3140,3,31,314
26821,3823,3,38,382
26938,5411,5,54,541
26987,3672,3,36,367
26990,7370,7,73,737
26999,3570,3,35,357
27025,3089,3,30,308
27075,3663,3,36,366
27082,3577,3,35,357
27096,3845,3,38,384
27099,7374,7,73,737
27109,3669,3,36,366
27116,3663,3,36,366
27153,5130,5,51,513
27326,5051,5,50,505
27367,3841,3,38,384
27399,2721,2,27,272
27419,5331,5,53,533
27425,3714,3,37,371
27442,3812,3,38,381
27500,2020,2,20,202
27539,1400,1,14,140
27566,4581,4,45,458
27594,7371,7,73,737
27613,2390,2,23,239
27748,6512,6,65,651
27751,2844,2,28,284
27904,4512,4,45,451
27984,6552,6,65,655
27996,2780,2,27,278
28146,2844,2,28,284
28209,6020,6,60,602
28262,2451,2,24,245
28323,3560,3,35,356
28325,5411,5,54,541
28364,3842,3,38,384
28365,3669,3,36,366
28372,2800,2,28,280
28374,4700,4,47,470
28412,6020,6,60,602
28452,7380,7,73,738
28582,2834,2,28,283
28626,3843,3,38,384
28630,3812,3,38,381
28771,1040,1,10,104
28823,3578,3,35,357
28827,6726,6,67,672
28866,1382,1,13,138
28887,3570,3,35,357
28895,7380,7,73,738
28917,5311,5,53,531
29002,3674,3,36,367
29051,2330,2,23,233
29208,3341,3,33,334
29286,7011,7,70,701
29302,7359,7,73,735
29322,4899,4,48,489
29332,2273,2,22,227
29386,2844,2,28,284
29415,2080,2,20,208
29534,5331,5,53,533
29587,6020,6,60,602
29590,3443,3,34,344
29644,3714,3,37,371
29646,6211,6,62,621
29669,2750,2,27,275
29693,2330,2,23,233
29806,3080,3,30,308
29834,1311,1,13,131
29850,2013,2,20,201
29905,3585,3,35,358
29924,2711,2,27,271
29989,7311,7,73,731
30067,3270,3,32,327
30099,1382,1,13,138
30117,7373,7,73,737
30125,6726,6,67,672
30140,3572,3,35,357
30163,6282,6,62,628
30197,3357,3,33,335
30302,5331,5,53,533
30305,3728,3,37,372
30547,2761,2,27,276
30554,2820,2,28,282
30625,3561,3,35,356
30645,5122,5,51,512
30697,5812,5,58,581
30780,1040,1,10,104
30786,5090,5,50,509
30819,3600,3,36,360
30822,7373,7,73,737
30828,3663,3,36,366
30831,3827,3,38,382
30841,3825,3,38,382
30875,3812,3,38,381
30892,2750,2,27,275
30908,5411,5,54,541
30927,3714,3,37,371
30966,1381,1,13,138
30985,2870,2,28,287
31063,1311,1,13,131
31079,3842,3,38,384
31107,3420,3,34,342
31224,4911,4,49,491
31235,3577,3,35,357
31347,3576,3,35,357
31348,3714,3,37,371
31364,5912,5,59,591
31462,2842,2,28,284
31575,5600,5,56,560
31617,3812,3,38,381
31660,3690,3,36,369
31667,5190,5,51,519
31688,3827,3,38,382
31791,3826,3,38,382
31978,4911,4,49,491
32013,3452,3,34,345
32017,2950,2,29,295
32020,5311,5,53,531
32120,3841,3,38,384
32166,7359,7,73,735
32190,4833,4,48,483
32198,3663,3,36,366
32203,3841,3,38,384
32228,3613,3,36,361
32251,3661,3,36,366
32258,7373,7,73,737
32272,3674,3,36,367
32312,3663,3,36,366
32522,7011,7,70,701
32598,6726,6,67,672
32604,3823,3,38,382
32621,3651,3,36,365
32666,4011,4,40,401
32689,4911,4,49,491
32866,1311,1,13,131
32870,3089,3,30,308
32878,3674,3,36,367
32991,2670,2,26,267
33002,2761,2,27,276
33015,4923,4,49,492
33073,3089,3,30,308
33113,3690,3,36,369
33185,7323,7,73,732
33189,6020,6,60,602
33195,3537,3,35,353
33213,4923,4,49,492
33325,1311,1,13,131
33420,6799,6,67,679
33488,3949,3,39,394
33533,3679,3,36,367
33541,5065,5,50,506
33619,3812,3,38,381
33681,3080,3,30,308
33769,2013,2,20,201
33780,5600,5,56,560
33798,5211,5,52,521
33934,6726,6,67,672
33939,8300,8,83,830
33992,6331,6,63,633
34067,3390,3,33,339
34088,2911,2,29,291
34115,5600,5,56,560
34125,6020,6,60,602
34136,2250,2,22,225
34151,5940,5,59,594
34165,5940,5,59,594
34169,5700,5,57,570
34181,3714,3,37,371
34236,7948,7,79,794
34285,9995,9,99,999
